rel_path,subject,ext,state,output_ref,tool,note,updated_at
2026年新高考资料/一轮复习/2026年体育单招数学零基础一轮总复习/资料/3.3平面向量的数量积（讲义）（教师版）.docx,MATH,.docx,PENDING,,init,,2026-09-18 01:39:25
2026年新高考资料/一轮复习/2026年体育单招数学零基础一轮总复习/资料/3.4平面向量的坐标运算（讲义）（学生版）.docx,MATH,.docx,PENDING,,init,,2026-09-18 01:39:25
2026年新高考资料/一轮复习/2026年体育单招数学零基础一轮总复习/资料/3.4平面向量的坐标运算（讲义）（教师版）.docx,MATH,.docx,PENDING,,init,,2026-09-18 01:39:25
2026年新高考资料/一轮复习/2026年体育单招数学零基础一轮总复习/资料/4.1任意角与弧度制（讲义）（学生版）.docx,MATH,.docx,PENDING,,init,,2026-09-18 01:39:25
2026年新高考资料/一轮复习/2026年体育单招数学零基础一轮总复习/资料/4.1任意角与弧度制（讲义）（教师版）.docx,MATH,.docx,PENDING,,init,,2026-09-18 01:39:25
2026年新高考资料/一轮复习/2026年体育单招数学零基础一轮总复习/资料/4.2任意角的三角函数（讲义）（学生版）.docx,MATH,.docx,PENDING,,init,,2026-09-18 01:39:25
2026年新高考资料/一轮复习/2026年体育单招数学零基础一轮总复习/资料/4.2任意角的三角函数（讲义）（教师版）.docx,MATH,.docx,PENDING,,init,,2026-09-18 01:39:25
2026年新高考资料/一轮复习/2026年体育单招数学零基础一轮总复习/资料/4.3同角三角函数之间的关系（讲义）（学生版）.docx,MATH,.docx,PENDING,,init,,2026-09-18 01:39:25
2026年新高考资料/一轮复习/2026年体育单招数学零基础一轮总复习/资料/4.3同角三角函数之间的关系（讲义）（教师版）.docx,MATH,.docx,PENDING,,init,,2026-09-18 01:39:25
2026年新高考资料/一轮复习/2026年体育单招数学零基础一轮总复习/资料/4.4三角函数诱导公式（讲义）（学生版）.docx,MATH,.docx,PENDING,,init,,2026-09-18 01:39:25
2026年新高考资料/一轮复习/2026年体育单招数学零基础一轮总复习/资料/4.4三角函数诱导公式（讲义）（教师版）.docx,MATH,.docx,PENDING,,init,,2026-09-18 01:39:25
2026年新高考资料/一轮复习/2026年体育单招数学零基础一轮总复习/资料/4.5两角和与差的正余弦（讲义）（学生版）.docx,MATH,.docx,PENDING,,init,,2026-09-18 01:39:25
2026年新高考资料/一轮复习/2026年体育单招数学零基础一轮总复习/资料/4.5两角和与差的正余弦（讲义）（教师版）.docx,MATH,.docx,PENDING,,init,,2026-09-18 01:39:25
2026年新高考资料/一轮复习/2026年体育单招数学零基础一轮总复习/资料/4.6三角函数的二倍角公式（讲义）（学生版）.docx,MATH,.docx,PENDING,,init,,2026-09-18 01:39:25
2026年新高考资料/一轮复习/2026年体育单招数学零基础一轮总复习/资料/4.6三角函数的二倍角公式（讲义）（教师版）.docx,MATH,.docx,PENDING,,init,,2026-09-18 01:39:25
2026年新高考资料/一轮复习/2026年体育单招数学零基础一轮总复习/资料/4.7正弦函数的图像与性质（讲义）（学生版）.docx,MATH,.docx,PENDING,,init,,2026-09-18 01:39:25
2026年新高考资料/一轮复习/2026年体育单招数学零基础一轮总复习/资料/4.7正弦函数的图像与性质（讲义）（教师版）.docx,MATH,.docx,PENDING,,init,,2026-09-18 01:39:25
2026年新高考资料/一轮复习/2026年体育单招数学零基础一轮总复习/资料/4.8余弦函数的图像与性质（讲义）（学生版）.docx,MATH,.docx,PENDING,,init,,2026-09-18 01:39:25
2026年新高考资料/一轮复习/2026年体育单招数学零基础一轮总复习/资料/4.8余弦函数的图像与性质（讲义）（教师版）.docx,MATH,.docx,PENDING,,init,,2026-09-18 01:39:25
2026年新高考资料/一轮复习/2026年体育单招数学零基础一轮总复习/资料/5.1正弦定理（讲义）（学生版）.docx,MATH,.docx,PENDING,,init,,2026-09-18 01:39:25
2026年新高考资料/一轮复习/2026年体育单招数学零基础一轮总复习/资料/5.1正弦定理（讲义）（教师版）.docx,MATH,.docx,PENDING,,init,,2026-09-18 01:39:25
2026年新高考资料/一轮复习/2026年体育单招数学零基础一轮总复习/资料/5.2余弦定理（讲义）（学生版）.docx,MATH,.docx,PENDING,,init,,2026-09-18 01:39:25
2026年新高考资料/一轮复习/2026年体育单招数学零基础一轮总复习/资料/5.2余弦定理（讲义）（教师版）.docx,MATH,.docx,PENDING,,init,,2026-09-18 01:39:25
